time magnitud error
2187.76096 18.373872756958008 0.0
2187.79176 18.335803985595703 0.0
2190.86609 18.308917999267578 0.0
2193.83081 18.305212020874023 0.0
2193.85849 18.274341583251953 0.0
2194.75222 18.270666122436523 0.0
2202.83059 18.273935317993164 0.0
2202.85856 18.282377243041992 0.0
2206.76754 18.295894622802734 0.0
2215.78344 18.315073013305664 0.0
2215.81148 18.307634353637695 0.0
2222.7833 18.30078125 0.0
2222.81103 18.29963493347168 0.0
2225.69388 18.30549430847168 0.0
2227.74182 18.2930908203125 0.0
2227.76894 18.28323745727539 0.0
2229.74755 18.28355598449707 0.0
2229.77478 18.290773391723633 0.0
2231.71607 18.271970748901367 0.0
2231.7432 18.286508560180664 0.0
2233.68428 18.28241729736328 0.0
2233.71147 18.282915115356445 0.0
2237.60351 18.282541275024414 0.0
2237.63081 18.277202606201172 0.0
2239.66456 18.291624069213867 0.0
2239.69177 18.291582107543945 0.0
2241.75618 18.28118324279785 0.0
2241.78358 18.278928756713867 0.0
2243.82647 18.2972354888916 0.0
2243.85415 18.284687042236328 0.0
2248.68601 18.277563095092773 0.0
2249.76915 18.289709091186523 0.0
2250.71743 18.28462791442871 0.0
2251.68131 18.2845516204834 0.0
2252.81457 18.290895462036133 0.0
2252.84173 18.28582763671875 0.0
2254.73251 18.294658660888672 0.0
2254.76802 18.289447784423828 0.0
2257.7376 18.291345596313477 0.0
2257.78771 18.28899383544922 0.0
2260.75966 18.28135871887207 0.0
2260.79893 18.294553756713867 0.0
2262.8166 18.282581329345703 0.0
2265.69808 18.28461265563965 0.0
2265.79121 18.279891967773438 0.0
2266.75987 18.283092498779297 0.0
2269.70054 18.291915893554688 0.0
2270.80951 18.28597068786621 0.0
2272.65708 18.285526275634766 0.0
2272.69034 18.286407470703125 0.0
2274.68584 18.295228958129883 0.0
2274.78801 18.280691146850586 0.0
2276.71017 18.281782150268555 0.0
2276.84337 18.290267944335938 0.0
2278.80238 18.289453506469727 0.0
2278.82964 18.28253173828125 0.0
2280.65233 18.29216957092285 0.0
2280.78207 18.28602409362793 0.0
2282.78139 18.282329559326172 0.0
2282.81368 18.29393768310547 0.0
2288.79558 18.290998458862305 0.0
2290.67728 18.290870666503906 0.0
2291.8291 18.28884506225586 0.0
2293.79672 18.288959503173828 0.0
2293.83024 18.30068016052246 0.0
2295.82058 18.295011520385742 0.0
2296.8242 18.29741096496582 0.0
2297.80737 18.283899307250977 0.0
2298.81714 18.28377342224121 0.0
2299.82382 18.284374237060547 0.0
2301.7179 18.284069061279297 0.0
2301.7479 18.283756256103516 0.0
2302.7931 18.278648376464844 0.0
2303.71588 18.293596267700195 0.0
2303.74718 18.274032592773438 0.0
2328.56507 18.301706314086914 0.0
2328.59505 18.28607940673828 0.0
2334.5583 18.276548385620117 0.0
2335.50487 18.291860580444336 0.0
2340.5548 18.29164695739746 0.0
2341.50219 18.27378273010254 0.0
2346.49542 18.28119659423828 0.0
2358.49443 18.297391891479492 0.0
